state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,source_folder
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,2,PROHIBIT LAWS NAMING PERSONS TO OFFICE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,2,TAX EXEMPT: VETS POSSESSORY INTERESTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,3,FINANCING OFF-STREET PARKING,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,3,INFERIOR COURT REORG,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,4,ELIGIBILITY TO VOTE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,5,ALLOW LEGS TO SERVE ON STATE BOARDS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,6,LEGALIZE & LICENCE GAMBLING,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,7,CHIROPRACTORS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,8,COMPENS OF LOCAL OFFICERS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1950,CA,Proposition,9,STATE CIVIL SERVICE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,1,VETS BOND $150M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,10,PUB FUNDS: PROHIBIT CERTAIN EXPEND,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,11,PAYMENTS TO AGED ($103M ?),0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,12,MILITARY SERVICE BY PUB OFFICIALS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,13,ELECTIONS: PROHIBIT CROSSFILING,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,14,REPEAL CONST RESTRICTIONS ON CHINESE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,15,TAX: INSURANCE COMPANIES & BANKS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,16,BOROUGH FORM OF CITY GOVT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,17,CHIROPRACTORS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,18,FINANCING COMMUNITY REDEVELOP PROJECTS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,19,GRAND JURIES,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,2,PUB SCHOOL FUNDING,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,20,STATE FUNDS: HOSPITAL CONSTRUCTION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,21,"SUPERIOR JUDGES, VACANCIES",0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,22,PROPERTY TAX STATEMENTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,23,DESCRIPTION OF PROPERTY FOR ASSESSMENT,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,24,SCHOOL BOND $185M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,3,TAX EXEMPT: NONPROFIT SCHOOLS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,4,PAYMENTS TO NEEDY BLIND,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,5,SUBVERSIVE PERSONS & GROUPS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,6,OATHS OF OFFICE (SUBVERSIVE GROUPS),1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,7,ELECTIONS: BALLOT DESIG OF PARTY AFFIL,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,8,TAX: CHURCH BUILDS UNDER CONSTRUCTION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1952,CA,Proposition,9,TAX: COLLEGE BUILDS UNDER CONSTRUCTION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,1,VETS BOND $175M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,10,TERMS OF STATE OFFICERS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,11,TAX EXEMPT: DISABLED VETS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,12,VOTING ELIGIBILITY OF EX-CONVICTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,13,VERNON CITY CHARTER,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,14,TAX EXEMPT: COLLEGE BUILDS UNDER CONSTR,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,15,TAX EXEMPT: NONPROFIT ORG BUILDINGS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,16,WATER RIGHTS OF GOVT AGENCIES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,17,STREET & HIGHWAY FUNDS FOR PARKING LOTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,18,RESIDENT NONCITIZENS PROPERTY OWNERSHIP,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,19,INFERIOR COURT JUDGES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,2,SCHOOL BOND $100M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,20,FRAMING COUNTY CHARTERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,3,ALCOHOL: ESTAB ALCOHOL BEVERAGE CONTROL,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,4,INCREASE AID TO NEEDY AGED,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,5,TAX EXEMPT: VESSELS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,6,LEGS COMPENS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,7,LEG POWER TO AMEND TORRENS ACT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,8,TAX EXEMPT: COMMERC & FISHING VESSELS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1954,CA,Proposition,9,TAX EXEMPT: CHURCH PROP UNDER CONSTRUCT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,1,VETS BOND $500M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,10,CIVIL SERVICE: ARCHITECTS & ENGINEERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,11,FRAMING COUNTY CHARTERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,12,RULES ON BOND MEASURES,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,13,REPEAL (INOPERATIVE) ALIEN LAND LAW,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,14,LEG EMPLOYEES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,15,PUB WATER SUPPLIES: MUTUAL WATER CO'S,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,16,CIVIL & CRIMINAL APPEALS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,17,CONST PROVISIONS ON JUDICIARY,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,18,INFERIOR COURT JUDGES,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,19,LEG POWER TO ALTER STATE BOUNDARIES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,2,SCHOOL BOND $100M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,3,STATE CONSTRUCTION PROGRAM BOND $200M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,4,REGUL: OIL & GAS CONSERVATION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,5,ALCOHOL: BEVERAGE ESTABLISHMENTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,6,TAX EXEMPT: CHURCH PARKING LOTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,7,CHANGE NAME OF STATE ASSEMBLY,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,8,LEG BUDGET SESSIONS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1956,CA,Proposition,9,ALLOW BOROUGH FORM OF COUNTY GOVT,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,1,VETS BOND $300M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,10,EMINENT DOMAIN: AIRPORTS & SCHOOLS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,11,ALLOW LOCAL STREET & ROAD BONDS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,12,ALLOW LEGS TO BE NOTARY PUBLICS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,13,MAKE SUPER OF PUB INSTRUCTION APPOINTED,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,14,COMPENS OF LOCAL OFFICIALS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,15,ALLOW BOXING MATCHES ON SUNDAYS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,16,TAX: PROPERTY OF RELIG & OTHER SCHOOLS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,17,TAX: CHANGE SALES & INCOME TAX RATES,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,18,RIGHT-TO-WORK (ANTI UNION),1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,2,SCHOOL BOND $220M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,3,STATE CONSTRUCTION PROGRAM BOND $200M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,4,S.F. HARBOR BOND $60M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,5,LEG POWER TO FIX LEGS COMPENS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,6,PUB INFO ON BOND MEASURES,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,7,GOVT FUNCTIONS: WARTIME DISASTERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,8,VOTER ELIGIBILITY IN PRES ELECTIONS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1958,CA,Proposition,9,GENERAL LEG SESSIONS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,1,VETS BOND $400M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,1,WATER RESOURCES BOND $1.75B,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,10,ADMINISTRATION OF JUSTICE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,11,VETERANS' TAX EXEMPTION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,12,CONSTITUTION: ELIMINATES OBSOLETE AND SUPERSEDED PROVISIONS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,13,DISTRICT COURTS OF APPEAL: APPELLATE JURISDICTION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,14,STREET AND HIGHWAY FUNDS: USE FOR LOCAL GRADE CROSSING BONDS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,15,SENATE REAPPORTIONMENT,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,2,MAKE TERMS OF ASSEMBLYMEN 4 YEARS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,2,SCHOOL BOND $300M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,3,ALLOW VOTE ON BONDS AT PRIMARY ELECTION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,3,DISABLED VETERANS' TAX EXEMPTION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,4,"TERMS OF OFFICE, STATE COLLEGE AGENCIES",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,5,COMPENSATION OF LEGISLATORS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,6,ASSESSMENT OF NON-PROFIT GOLF COURSES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,7,CHIROPRACTORS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,8,VOTING ELIGIBILITY OF EX-CONVICTS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1960,CA,Proposition,9,CLAIMS AGAINST CHARTERED CITIES AND COUNTIES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,1,COMPENSATION OF LEGISLATORS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,1,SCHOOL BONDS $200M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,10,WELFARE EXEMPTION: LEASED PROPERTY,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,11,ASSESSMENTS: HISTORICAL LANDMARK AREA,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,12,AID TO WIDOWS OF VETERANS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,13,EXTENSION OF COLLEGE EXEMPTION - COLLEGE LANDS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,14,SALE OF TIDELANDS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,15,COUNTY TAX APPEALS BOARDS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,16,CONSTITUTION: ELIMINATES OBSOLETE AND SUPERSEDED PROVISIONS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,17,PAY OF LEGISLATORS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,18,ALCOHOLIC BEVERAGE CONTROL APPEALS BOARD,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,19,COMPENSATION OF LOCAL OFFICERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,1A,UNIVERSITY BONDS $270M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,2,TAX EXEMPT: VETS IN HOUSING PROJECTS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,2,VETS BOND $250M,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,20,BOXING AND WRESTLING CONTESTS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,21,SUPERIOR COURT JUDGES: ELECTION IN COUNTIES OVER 5 MILLION POPULATION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,22,OSTEOPATHS. AMENDMENT OF OSTEOPATHIC INITIATIVE ACT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,23,SENATE REAPPORTIONMENT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,24,SUBVERSIVE ACTIVITIES,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,3,CONSTRUCTION BOND $270M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,3,VETERANS' TAX EXEMPTION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,4,AGED & HANDICAPPED HOUSING BOND $100M,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,4,TAX: ASSESSMENT OF AGRIC LAND,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,5,PARK & RECREATION BOND $150M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,5,WORKMEN'S COMPENSATION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,6,DAYLIGHT SAVING TIME,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,6,"MAKE STATE BONDS STATUTES, NOT CONST AMENDS",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,7,CONSTITUTION REVISION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,8,GENERAL LEG SESSIONS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1962,CA,Proposition,9,ALLOW GENL OBLIGATION BONDS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,1,"BEACH, PARK, RECREATION BOND $150M",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,10,STATE SCHOOL FUND,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,11,PERMANENCE OF MUNICIP FUNCTIONS BY COUNTY OFFICERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,12,PROPERTY TAXATION: RELIEF IN EVENT OF DISASTER,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,13,CONSTITUTIONAL AMENDMENTS. NAMING CORPORATIONS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,14,SALES AND RENTALS OF RESIDENTIAL REAL PROPERTY,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,15,TELEVISION PROGRAMS - BAN PAY-TELEVISION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,16,STATE LOTTERY,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,17,RAILROAD TRAIN CREWS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,2,"HIGHER EDUC, ETC. BOND $380M",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,3,SCHOOL BOND $260M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,4,VETERANS' TAX EXEMPTION: RESIDENCY REQUIREMENT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,5,VETERANS' TAX EXEMPTION FOR WIDOWS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,6,TAXATION: RETALIATORY TAX ON OUT OF STATE INSURERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,7,DEPOSIT OF PUB RETIREMENT FUNDS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,8,"SUPERIOR COURT JUDGES: ELECTION IN COUNTIES OVER 700,000 POPULATION",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1964,CA,Proposition,9,COUNTY SUPERVISORIAL DISTRICT BOUNDARIES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,1,DEPOSIT OF PUB RETIREMENT FUNDS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,1,SCHOOL BOND $275M,,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,10,LOAN OF PUBLIC FUNDS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,11,BOXING AND WRESTLING CONTESTS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,12,COUNTY ASSESSMENT APPEALS BOARDS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,13,PROPERTY TAX STATEMENT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,14,PERSONAL INCOME TAXES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,15,ELIGIBILITY TO VOTE: EDUC REQUIREMENT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,16,OBSCENITY,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,1A,CONST REVISION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,2,HIGHER EDUCATION BOND $230M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,3,OPEN SPACE CONSERVATION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,4,"LOCAL BONDS; 60% TO PASS, NOT 66.7%",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,5,PROPERTY TAXATION: RELIEF IN EVENT OF DISASTER,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,6,LEG PROCED (EXPAND LEG POWER VS. EXEC),0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,7,LEG POWER OVER COMP OF COUNTY OFFICERS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,8,TAXATION: INSURANCE COMPANIES; HOME OR PRINCIPAL OFFICE DEDUCTION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1966,CA,Proposition,9,VETERANS' TAX EXEMPTION FOR BLIND VETERANS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,1,CONSTITUTIONAL REVISION,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,1,VETS BOND $200M,,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,1A,TAX EXEMPT: HOMEOWNERS' PROPERTY,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,2,JUNIOR COLLEGE BOND $65M,,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,2,TAXATION OF PUBLICLY OWNED PROPERTY,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,3,HIGHER EDUCATION FACILITIES BOND $250M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,4,PERSONAL INCOME TAXES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,5,INSURED LOANS OF SPECIFIED HOSPITALS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,6,INSURANCE COMPANIES: GROSS PREMIUM TAX,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,7,STATE FUNDS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,8,APPORTIONMENT OF LOCAL SALES AND USE TAX,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1968,CA,Proposition,9,TAXATION: LIMITATION ON PROPERTY TAX RATE,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,1,CLEAN WATER BOND $250M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,1,U OF CAL HEALTH SCIENCE BOND $246M,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,10,INTEREST RATE LIMITATION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,11,CHIROPRACTORS - RULES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,12,COMPENSATION OF COUNTY SUPERVISORS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,13,TAX EXEMPTION FOR DISABLED AND BLIND VETERANS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,14,STATE CIVIL SERVICE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,15,PARTIAL CONSTITUTIONAL REVISION,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,16,CONSTITUTIONAL AMENDMENTS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,17,PARTIAL CONSTITUTIONAL REVISION: SOCIAL WELFARE,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,18,MOTOR VEHICLE TAXATION REVENUES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,19,USURY,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,2,PARTIAL CONSTITUTIONAL REVISION: LOCAL GOVT,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,2,VACANCIES IN SPECIFIED CONSTITUTIONAL OFFICES,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,20,"RECREATION, FISH & WILDLIFE BOND $60M",1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,3,"PARTIAL CONSTITUTIONAL REVISION: PUBLIC UTILITIES, CORPORATIONS AND WATER USE",0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,3,"STATE BUDGET, SUBMISSION BY GOVERNOR",0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,4,APPROPRIATION FOR PUBLIC SCHOOLS,0,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,4,PARTIAL CONSTITUTIONAL REVISION: VARIOUS,1,,,Los Angeles Times
CA,LOS ANGELES TIMES,103000,1970,CA,Proposition,5,"PARTIAL CONSTITUTIONAL REVISION: FUTURE CONSTITUTIONAL AMENDMENTS, STATE CIVIL SERVICE",1,,,Los Angeles Times
